speaker,url,status,processed_date,output_files
Emil Olesen,https://youtu.be/1TDltINif9Y,done,2026-05-08,creative-strategist/winning-ads-analysis/_knowledge/2026-05-08_emil-olesen_video-concept-breakdown-framework.md; creative-strategist/hooks/_knowledge/2026-05-08_emil-olesen_hook-principles-and-script-priorities.md; creative-strategist/new-concept-briefs/_knowledge/2026-05-08_emil-olesen_brief-template-and-ai-iteration-workflow.md; performance-analyst/ad-accounts/_knowledge/2026-05-08_emil-olesen_scaling-creatives-and-content-mix-analysis.md
Emil Olesen,https://youtu.be/6dfpnFD6Big,done,2026-05-08,creative-strategist/new-concept-briefs/_knowledge/2026-05-08_emil-olesen_creative-strategy-system-foundations.md; creative-strategist/winning-ads-analysis/_knowledge/2026-05-08_emil-olesen_strategic-funnel-out-mapping.md; creative-strategist/hooks/_knowledge/2026-05-08_emil-olesen_angles-and-use-cases-framework.md
Bob Verlaat,https://youtu.be/2zGqfsdtfr4,"error: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=2",,
Nick Nijhof,https://youtu.be/d6nxWP43feU,done,2026-05-08,creative-strategist/winning-ads-analysis/_knowledge/2026-05-08_nick-nijhof_oak-brand-group-creative-strategy-playbook.md; creative-strategist/hooks/_knowledge/2026-05-08_nick-nijhof_storytelling-vsl-hooks-top-of-funnel.md; creative-strategist/new-concept-briefs/_knowledge/2026-05-08_nick-nijhof_pod-system-creative-team-structure.md; copy-agent/landing-pages/_knowledge/2026-05-08_nick-nijhof_pre-lander-listical-strategy.md; copy-agent/ad-copy/_knowledge/2026-05-08_nick-nijhof_messaging-market-fit-from-customer-data.md; performance-analyst/ad-accounts/_knowledge/2026-05-08_nick-nijhof_meta-ad-account-scaling-economics.md; performance-analyst/budget-shifts/_knowledge/2026-05-08_nick-nijhof_omni-channel-budget-allocation.md; performance-analyst/spend-leaks/_knowledge/2026-05-08_nick-nijhof_opex-vs-contribution-margin.md; lifecycle-crm/flows/_knowledge/2026-05-08_nick-nijhof_retention-upsells-recurring-revenue.md; reporting/daily/_knowledge/2026-05-08_nick-nijhof_command-center-metrics-dashboard.md; creative-strategist/new-concept-briefs/_knowledge/2026-05-08_nick-nijhof_ai-tools-stack-creative-production.md; creative-strategist/new-concept-briefs/_knowledge/2026-05-08_nick-nijhof_product-research-tam-selection.md
Vince Nijhof,https://youtu.be/d6nxWP43feU,done,2026-05-08,creative-strategist/winning-ads-analysis/_knowledge/2026-05-08_vince-nijhof_oak-brand-creative-strategy-awareness-stages.md; creative-strategist/hooks/_knowledge/2026-05-08_vince-nijhof_data-bank-customer-research-hooks.md; creative-strategist/new-concept-briefs/_knowledge/2026-05-08_vince-nijhof_creative-team-structure-pods-output.md; creative-strategist/new-concept-briefs/_knowledge/2026-05-08_vince-nijhof_ai-creative-production-vsl-broll.md; copy-agent/landing-pages/_knowledge/2026-05-08_vince-nijhof_prelander-listicle-strategy.md; copy-agent/ad-copy/_knowledge/2026-05-08_vince-nijhof_emotional-marketing-angles-copy.md; performance-analyst/ad-accounts/_knowledge/2026-05-08_vince-nijhof_rooas-targets-contribution-margin.md; performance-analyst/budget-shifts/_knowledge/2026-05-08_vince-nijhof_omnichannel-spend-mix-meta-google-applovin.md; performance-analyst/mmm-light/_knowledge/2026-05-08_vince-nijhof_blended-roas-channel-correlation.md; lifecycle-crm/flows/_knowledge/2026-05-08_vince-nijhof_ltv-subscription-email-recurring.md; lifecycle-crm/segments/_knowledge/2026-05-08_vince-nijhof_upsell-strategy-cross-sell.md; creative-strategist/new-concept-briefs/_knowledge/2026-05-08_vince-nijhof_product-selection-tam-unit-economics.md; performance-analyst/spend-leaks/_knowledge/2026-05-08_vince-nijhof_testing-budget-new-brand-validation.md
Niklas Fahnøe,https://youtu.be/GRNPX0I2AUE,"error: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=G",,
Niklas Fahnøe,https://youtu.be/tlHGOU3hqxc,done,2026-05-08,performance-analyst/budget-shifts/_knowledge/2026-05-08_niklas-fahn-e_black-friday-budget-scaling.md; lifecycle-crm/flows/_knowledge/2026-05-08_niklas-fahn-e_vip-email-tilbud-fejl.md; creative-strategist/new-concept-briefs/_knowledge/2026-05-08_niklas-fahn-e_black-friday-content-produktion.md; creative-strategist/hooks/_knowledge/2026-05-08_niklas-fahn-e_julegave-hooks.md; copy-agent/ad-copy/_knowledge/2026-05-08_niklas-fahn-e_julekampagne-ad-copy-nap.md; reporting/daily/_knowledge/2026-05-08_niklas-fahn-e_black-friday-daglig-status.md; reporting/anomaly-detection/_knowledge/2026-05-08_niklas-fahn-e_roas-fald-under-black-month.md
Niklas Fahnøe,https://youtu.be/RfTxsTuFNo8,done,2026-05-08,creative-strategist/new-concept-briefs/_knowledge/2026-05-08_niklas-fahn-e_fomo-vs-fokus-mindset-ecom.md
Niklas Fahnøe,https://youtu.be/2JbVSk5TDsg,"error: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=2",,
Niklas Fahnøe,https://youtu.be/a0O--oHIsr8,"error: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=a",,
